target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
log1p,13.236470937728882,0.5762747335282047,0.04565286636352539,0.002959520620921679,100.0,1.0,linear,,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-22.17003019970587,-20.373522261688844,-20.97920408328915,-23.260307833421052,-22.312629421740343,-21.81913875996905,1.023613545748574,23
log1p,1.0058332920074462,0.05683252221870399,0.2498420238494873,0.026825691232159974,0.1,0.1,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.553735014745136,-19.611104282647563,-20.245223815067696,-22.892265299770273,-21.83123844816881,-21.2267133720799,1.1679016590967997,1
log1p,0.6544227600097656,0.013970860441679132,0.16614995002746583,0.002684678723411157,0.1,0.5,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.603595548532667,-19.699871623736595,-20.348056380900083,-22.905817987976874,-21.88583588013564,-21.288635484256375,1.1384188209469503,14
log1p,0.3972186088562012,0.03951592817612601,0.11367259025573731,0.005344731590933005,0.1,1.0,rbf,scale,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-22.217164944612946,-20.36088535565578,-21.015215559351564,-23.28493369726294,-22.358314909323443,-21.847302893241334,1.0360038584444191,24
log1p,1.0155383110046388,0.06409869627179345,0.24025821685791016,0.008205013386469341,0.5,0.1,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.612583602291775,-19.622509751146524,-20.246814146823276,-22.926419724109554,-21.833861318183075,-21.248437708510842,1.1779506068811618,7
log1p,0.6825723648071289,0.01986357813007559,0.1728443145751953,0.013507283335538162,0.5,0.5,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.66568474505351,-19.720114348639573,-20.35272863003248,-22.942537052416842,-21.898185344216206,-21.31585002407172,1.1473085557757732,15
log1p,0.4030637741088867,0.012741214910757474,0.10168418884277344,0.005737247998605587,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-22.230962293724268,-20.381688919283313,-21.014999819114657,-23.347410414609083,-22.351572485149337,-21.86532678637613,1.0479440211012367,25
log1p,1.1853175163269043,0.050841930296961144,0.26223039627075195,0.011814843535165712,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.659667202817797,-19.661800342043108,-20.27728575091705,-22.94766468742087,-21.84790578761898,-21.27886475416356,1.172328386808697,8
log1p,1.2566999435424804,0.3486330103885319,0.1764525890350342,0.022854071406480426,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.703744351418067,-19.75216384127075,-20.37102085686749,-22.97137960368394,-21.907242899278387,-21.341110310503726,1.1467878578126878,16
log1p,0.9219692707061767,0.3836822959012823,0.43307790756225584,0.3852906883740073,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-22.252453449330744,-20.3980455790402,-21.038531369667567,-23.384049108710474,-22.358832779690356,-21.88638245728787,1.0520666145323512,26
