target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,1.7041576385498047,0.03821775907865451,0.14850516319274903,0.012586053839257108,10.0,0.5,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-57.14260556243375,-56.9044221908206,-57.760809015896726,-56.99558589483516,-55.21497136140335,-56.80367880507792,0.8487565598887312,19
identity,1.0103458881378173,0.046912192103460024,0.08013391494750977,0.011438284041024923,10.0,1.0,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-78.23864506129554,-79.31486659534872,-79.13910766029838,-78.33556480763409,-77.52698419979887,-78.51103366487511,0.650224967957869,22
identity,16.899007749557494,0.5916395451721636,0.29741759300231935,0.029328179211814222,100.0,0.1,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-51.988505236572216,-49.107566030705186,-51.6128756470541,-51.02581514503876,-48.152374313724636,-50.37742727461898,1.4903502922823524,10
identity,10.025286865234374,0.7784369549720552,0.1464693069458008,0.023199871033701438,100.0,0.5,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-57.590800487562895,-57.20408486545852,-58.95729134960249,-57.416228777219814,-55.50531690165853,-57.33474447630046,1.1017023112463513,20
identity,5.544837570190429,0.11054698311831196,0.07887129783630371,0.002971805711774385,100.0,1.0,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-77.27291364651629,-78.55628705121977,-79.1447887770912,-77.49359205532092,-76.76128448491156,-77.84577320301193,0.8741380671427056,21
log1p,1.2088254928588866,0.008441217937365889,0.12330341339111328,0.00768133931346631,0.1,0.1,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.108328561487866,-48.25659102754691,-48.64323423989334,-49.34925103225645,-46.205666749694075,-48.51261432217572,1.3153616621047115,5
log1p,0.9316030979156494,0.02161516850748175,0.10616064071655273,0.015459186986151811,0.1,0.5,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-50.07275754145183,-48.30139686392549,-48.69150727024222,-49.33277606745675,-46.26893094425178,-48.53347373746561,1.2818164594788337,10
log1p,0.5101943969726562,0.02237952379035429,0.056709575653076175,0.004270086483861758,0.1,1.0,linear,,"{'regressor__model__C': 0.1, 'regressor__model__epsilon': 1.0, 'regressor__model__kernel': 'linear'}",-50.2900674570178,-48.58009532191231,-48.92505659656881,-49.68566094738903,-46.72903832533552,-48.841983729644696,1.2123335061061746,23
log1p,1.8479226112365723,0.030980661229881967,0.12596211433410645,0.015048906221707023,0.5,0.1,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.1, 'regressor__model__kernel': 'linear'}",-50.08445441237074,-48.32248469617426,-48.68638530034071,-49.29812571678734,-46.187784160774925,-48.51584685728959,1.308345373415398,6
log1p,1.316567325592041,0.11925552471065512,0.11113734245300293,0.013202594136824078,0.5,0.5,linear,,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__kernel': 'linear'}",-50.05933613890747,-48.37922161277352,-48.73766607055212,-49.27948535917785,-46.2465250893395,-48.54044685415009,1.2790753404011308,12
