target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__model__C,param_regressor__model__epsilon,param_regressor__model__kernel,param_regressor__model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,23.72597532272339,5.270828341941405,5.011372327804565,4.156802175174641,0.5,0.5,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.285856705655114,-24.490741948185676,-24.97353252191015,-24.57630994329249,-24.556964515511854,-24.576681126911055,0.22353715516393255,17
identity,8.181111288070678,0.5125923051802026,1.3901221752166748,0.10485469094819846,0.5,1.0,rbf,scale,"{'regressor__model__C': 0.5, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.1732747788015,-33.321615805191435,-33.32655961509445,-33.236360707785124,-33.310174388858705,-33.27359705914625,0.05983283237399379,27
identity,30.250605869293214,0.4972575936641937,5.5382191181182865,0.02934375187618807,1.0,0.1,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.040954811930934,-21.22523469867644,-21.897662910594754,-21.43482090667991,-21.171087189602122,-21.35395210349683,0.3000454154451757,8
identity,23.399152755737305,5.772555471484957,2.8069653034210207,0.22290068855680004,1.0,0.5,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.299653732281314,-24.50554139196574,-24.983710611880095,-24.586824463730824,-24.570845089051105,-24.589315057781814,0.22217871476408382,18
identity,19.93613381385803,5.109517577441539,1.3377355098724366,0.10177782478710032,1.0,1.0,rbf,scale,"{'regressor__model__C': 1.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.180240005389344,-33.33549351394925,-33.335860248509825,-33.2522346460752,-33.317469273627225,-33.284259537510174,0.060392213114692006,28
identity,62.97347974777222,6.1658812286192415,5.755112028121948,0.4450239776893403,10.0,0.1,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.139957439120906,-21.330096930914554,-22.03133664245317,-21.566309028060502,-21.291891984436145,-21.471918404997055,0.3113131155596065,9
identity,38.7052396774292,6.095547172222609,2.7633044719696045,0.054918982499401546,10.0,0.5,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.360694044908957,-24.565032543472675,-25.056209327892883,-24.67143264297985,-24.635694894577586,-24.65781269076639,0.22639886303965545,19
identity,28.510914278030395,4.614032575868949,1.4894023895263673,0.15258973642392157,10.0,1.0,rbf,scale,"{'regressor__model__C': 10.0, 'regressor__model__epsilon': 1.0, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-33.1848290465427,-33.3405012310316,-33.33740466468407,-33.28590935330983,-33.32568280473839,-33.29486542006132,0.058361186422330555,29
identity,384.80378541946413,10.43544469092782,5.596125268936158,0.24745995175535113,100.0,0.1,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.1, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-21.363770313955847,-21.585481865544608,-22.239685243509854,-21.73465231686059,-21.573499469775378,-21.699417841929254,0.29483094804636906,10
identity,212.87382378578187,6.887311381164678,2.901847982406616,0.11415040262043015,100.0,0.5,rbf,scale,"{'regressor__model__C': 100.0, 'regressor__model__epsilon': 0.5, 'regressor__model__gamma': 'scale', 'regressor__model__kernel': 'rbf'}",-24.528719980368777,-24.708229483277233,-25.202722043885608,-24.82055916334834,-24.844478572148564,-24.820941848605703,0.22109180848006074,20
